30,-296,-125,-125,-150,238,2888
30,-296,-125,-174,-143,209,2888
42,-295,-149,-174,-170,152,2888
42,-295,-149,-170,-179,127,2884
55,-303,-152,-186,-171,112,2880
55,-303,-152,-143,-170,60,2884
73,-291,-147,-100,-199,12,2884
73,-291,-147,-143,-215,34,2884
78,-285,-135,-107,-190,-62,2884
78,-285,-135,-61,-202,19,2884
74,-282,-118,-90,-214,-23,2888
74,-282,-118,-120,-220,-42,2884
92,-271,-101,-23,-231,-2,2892
92,-271,-101,-42,-227,-38,2884
92,-271,-101,-65,-210,-4,2888
90,-276,-93,-8,-229,-8,2884
90,-276,-93,-35,-237,-37,2884
92,-260,-77,-17,-232,32,2880
92,-260,-77,-25,-254,-20,2884
98,-259,-67,-6,-258,-10,2888
98,-259,-67,11,-273,-1,2880
112,-247,-65,48,-279,13,2884
112,-247,-65,11,-263,-29,2892
119,-248,-65,54,-270,-8,2880
119,-248,-65,40,-265,-54,2892
114,-229,-44,56,-278,50,2880
114,-229,-44,62,-251,6,2884
114,-229,-44,75,-191,-11,2884
114,-217,-37,28,-231,110,2880
114,-217,-37,22,-139,76,2884
119,-224,-34,147,-163,39,2884
119,-224,-34,235,-164,108,2888
126,-211,-24,256,-132,106,2884
126,-211,-24,201,-157,91,2888
132,-197,-23,160,-169,102,2884
132,-197,-23,220,-204,-22,2888
132,-206,-29,183,-149,86,2880
132,-206,-29,210,-182,12,2892
142,-211,-31,207,-139,34,2884
142,-211,-31,268,-131,13,2880
154,-206,-43,210,-122,24,2884
154,-206,-43,232,-109,42,2888
170,-199,-52,313,-129,41,2888
170,-199,-52,285,-114,33,2880
170,-199,-52,327,-139,1,2884
170,-202,-52,209,-162,60,2884
